ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF
jqc,Li7.0Bi1.0O6.0,2,5.5071,6.0425,5.5231,116.912,120.867,62.234,1.58489e-06,10.1002/zaac.200500231,Match
oi6,Li7.0Sb1.0O6.0,2,5.4307,5.8916,5.385,116.748,119.63,62.779,6.7e-08,10.1021/ic030208w,Match
2t8,Li2.0V2.0P2.0O8.0F2.0,2,5.3115,7.2617,5.1744,107.934,98.444,107.547,8.1e-07,10.1016/j.ssi.2013.04.002,Match
ro9,Li6.0B2.0P4.0O16.0,2,5.1888,7.4118,7.6735,101.179,105.067,90.335,9.6e-12,10.1039/C3DT52917G,Match
7cr,Li4.0Na2.0B2.0P4.0O16.0,2,5.4344,7.3793,7.984,103.243,109.27,87.391,4.4e-18,10.1016/j.jssc.2014.11.024,Match
47i,Li8.0P4.0O14.0,2,8.5632,7.1099,5.1858,111.426,89.991,103.055,1e-15,10.1016/j.jssc.2013.12.015,Match
clt,Li6.0Cu1.0B4.0O10.0,2,3.31218,6.68272,9.27858,78.8443,89.7596,86.6143,1e-13,10.1021/acs.inorgchem.8b01785,Match
mdp,Li14.0P6.0S22.0,2,12.5009,6.0316,12.5303,102.845,113.202,74.467,0.0032,10.1039/c3ee41655k|10.1016/j.ssi.2007.05.020|10.1016/j.ssi.2006.04.017,Match
ix1,Li5.46Hf12.13P18.0O72.0,167,8.8306,8.8306,22.027,90,90,120,3.2e-07,10.1021/cm970078n,Match
ptg,Li14.0P6.0S22.0,2,12.4258,6.0401,12.515,103.076,113.342,74.883,0.0086,10.1021/acs.chemmater.6b02163,No Match
bq9,Li24.0Bi8.0O24.0,2,9.02743,9.7388,9.23917,114.046,89.295,107.538,2.4e-10,10.1016/j.ssi.2015.10.016,Close Match
skm,Li10.0Bi2.0O10.0,8,9.97608,4.15207,5.94635,90,109.486,90,3.9e-09,10.1016/j.ssi.2015.10.016,Match
pwr,Li7.22Si1.5P0.5O8.0,11,5.10536,6.11225,5.29671,90,90.3692,90,1.64e-07,10.1021/jacs.5b04444,Match
o4u,Li91.2Ge19.2P4.8S96.0,11,13.9668,23.3842,12.3196,90,89.967,90,1.78e-06,10.1149/1.1379028,No Match
yy9,Li86.4Ge14.4P9.6S96.0,11,13.9016,23.454,12.3367,90,90.043,90,0.000175,10.1149/1.1379028,No Match
mvq,Li81.6Ge9.6P14.4S96.0,11,13.769,23.614,12.359,90,90.66,90,0.000654,10.1149/1.1379028,No Match
2yl,Li80.4Ge8.4P15.6S96.0,11,13.393,22.947,18.2009,90,92.562,90,0.00154,10.1149/1.1379028,No Match
5qm,Li79.2Ge7.2P16.8S96.0,11,13.387,22.968,18.2015,90,92.594,90,0.00174,10.1149/1.1379028,No Match
3jh,Li78.0Ge6.0P18.0S96.0,11,13.395,22.979,18.1981,90,92.591,90,0.0022,10.1149/1.1379028,No Match
j3x,Li76.8Ge4.8P19.2S96.0,11,13.0981,24.201,12.2793,90,89.887,90,0.000555,10.1149/1.1379028,No Match
b4c,Li8.0Si2.0S8.0,11,6.8934,7.7675,6.1241,90,91.225,90,1.59e-08,10.1006/jssc.2002.9701,Match
7se,Li91.2Si19.2P4.8S96.0,11,13.7707,23.304,12.1962,90,91.168,90,8.11e-07,10.1006/jssc.2002.9701,No Match
5e2,Li86.4Si14.4P9.6S96.0,11,13.6233,23.4044,12.2258,90,90.133,90,7.19e-05,10.1006/jssc.2002.9701,No Match
dj2,Li81.6Si9.6P14.4S96.0,11,13.3678,23.6448,12.2154,90,90.134,90,0.000662,10.1006/jssc.2002.9701,No Match
10u,Li76.8Si4.8P19.2S96.0,11,13.0804,24.1028,12.2338,90,90.03,90,3.2e-06,10.1006/jssc.2002.9701,No Match
s3r,Li8.0Al0.66Si0.66P0.66O8.0,11,5.1475,6.1779,5.3497,90,90.34,90,3.25e-06,10.1021/acsami.6b14402,No Match
max,Li8.5Si1.5Al0.5O8.0,11,5.1496,6.1771,5.3424,90,90.3,90,2.02e-08,10.1021/acsami.6b14402,No Match
k5y,Li7.5Si1.5P0.5O8.0,11,5.1084,6.1126,5.302,90,90.34,90,5.54e-07,10.1021/acsami.6b14402,No Match
y2l,Li10.0Al2.0S8.0,11,6.8583,7.8369,6.2488,90,90.333,90,1.4e-09,10.1016/j.jssc.2017.09.018,Match
gl0,Li8.4Si1.6Al0.4S8.0,11,6.903,7.787,6.125,90,90.877,90,2.4e-08,10.1006/jssc.2002.9701,No Match
wmr,Li8.8Si1.2Al0.8S8.0,11,6.862,7.81,6.113,90,90.23,90,3.05e-08,10.1006/jssc.2002.9701,No Match
xxq,Li9.2Si0.8Al1.2S8.0,11,6.858,7.82,6.217,90,89.947,90,1.46e-08,10.1006/jssc.2002.9701,No Match
h8o,Li9.6Si0.4Al1.6S8.0,11,6.843,7.833,6.235,90,89.846,90,2.29e-07,10.1006/jssc.2002.9701,No Match
de5,Li6.0In2.0Cl12.0,12,6.432,11.093,6.398,90,109.8,90,0.00204,10.1002/anie.201909805,Match
cfy,Li4.0P4.0S12.0,12,11.1157,7.00704,6.52514,90,125.572,90,7.8e-11,10.1021/acs.inorgchem.7b00751,Match
na5,Li6.0Mo16.0S16.0O80.0H94.0W2.0,12,20.6754,11.1509,14.5769,90,133.865,90,3.8e-07,10.1002/1521-3765(20020118)8:2<349::aid-chem349>3.0.co;2-5,Match
pe2,Li17.0Sb13.0S28.0,12,12.7298,11.5837,9.2251,90,119.55,90,1.05e-09,10.1002/chem.201502052,Match
opo,Li4.8Sn4.8S12.0,12,19.217,3.6996,6.529,90,109.056,90,0.00012,10.1039/c6ee00633g,Match
elz,Li6.0Y2.0Br12.0,12,6.9217,11.9096,6.9326,90,109.553,90,0.00192,10.1002/adma.201803075,Close Match
lkm,Li24.0Ge8.0O28.0,14,8.071,5.304,14.223,90,92.9,90,8.5e-07,10.4028/www.scientific.net/msf.76.107,Match
